image_id,image_path,concept_id,concept_name,unique_id,split
0,images_THINGS/object_images/aardvark/aardvark_01b.jpg,0,aardvark,aardvark,train
1,images_THINGS/object_images/aardvark/aardvark_02s.jpg,0,aardvark,aardvark,train
2,images_THINGS/object_images/aardvark/aardvark_03s.jpg,0,aardvark,aardvark,test
3,images_THINGS/object_images/aardvark/aardvark_04s.jpg,0,aardvark,aardvark,train
4,images_THINGS/object_images/aardvark/aardvark_05s.jpg,0,aardvark,aardvark,train
5,images_THINGS/object_images/aardvark/aardvark_06s.jpg,0,aardvark,aardvark,test
6,images_THINGS/object_images/aardvark/aardvark_07s.jpg,0,aardvark,aardvark,val
7,images_THINGS/object_images/aardvark/aardvark_08s.jpg,0,aardvark,aardvark,train
8,images_THINGS/object_images/aardvark/aardvark_09s.jpg,0,aardvark,aardvark,train
9,images_THINGS/object_images/aardvark/aardvark_10s.jpg,0,aardvark,aardvark,train
10,images_THINGS/object_images/aardvark/aardvark_11s.jpg,0,aardvark,aardvark,val
11,images_THINGS/object_images/aardvark/aardvark_12s.jpg,0,aardvark,aardvark,train
12,images_THINGS/object_images/aardvark/aardvark_13s.jpg,0,aardvark,aardvark,train
13,images_THINGS/object_images/aardvark/aardvark_14s.jpg,0,aardvark,aardvark,train
14,images_THINGS/object_images/abacus/abacus_01b.jpg,1,abacus,abacus,train
15,images_THINGS/object_images/abacus/abacus_02s.jpg,1,abacus,abacus,train
16,images_THINGS/object_images/abacus/abacus_03s.jpg,1,abacus,abacus,val
17,images_THINGS/object_images/abacus/abacus_04s.jpg,1,abacus,abacus,test
18,images_THINGS/object_images/abacus/abacus_05s.jpg,1,abacus,abacus,train
19,images_THINGS/object_images/abacus/abacus_06s.jpg,1,abacus,abacus,test
20,images_THINGS/object_images/abacus/abacus_07s.jpg,1,abacus,abacus,val
21,images_THINGS/object_images/abacus/abacus_08s.jpg,1,abacus,abacus,train
22,images_THINGS/object_images/abacus/abacus_09s.jpg,1,abacus,abacus,train
23,images_THINGS/object_images/abacus/abacus_10s.jpg,1,abacus,abacus,train
24,images_THINGS/object_images/abacus/abacus_11s.jpg,1,abacus,abacus,train
25,images_THINGS/object_images/abacus/abacus_12s.jpg,1,abacus,abacus,train
26,images_THINGS/object_images/abacus/abacus_13s.jpg,1,abacus,abacus,train
27,images_THINGS/object_images/abacus/abacus_14s.jpg,1,abacus,abacus,train
28,images_THINGS/object_images/accordion/accordion_01b.jpg,2,accordion,accordion,train
29,images_THINGS/object_images/accordion/accordion_02s.jpg,2,accordion,accordion,train
30,images_THINGS/object_images/accordion/accordion_03s.jpg,2,accordion,accordion,train
31,images_THINGS/object_images/accordion/accordion_04s.jpg,2,accordion,accordion,train
32,images_THINGS/object_images/accordion/accordion_05s.jpg,2,accordion,accordion,val
33,images_THINGS/object_images/accordion/accordion_06s.jpg,2,accordion,accordion,val
