image_id,image_path,concept_id,concept_name,unique_id,image_exists
0,images_THINGS/object_images/aardvark/aardvark_01b.jpg,0,aardvark,aardvark,True
1,images_THINGS/object_images/aardvark/aardvark_02s.jpg,0,aardvark,aardvark,True
2,images_THINGS/object_images/aardvark/aardvark_03s.jpg,0,aardvark,aardvark,True
3,images_THINGS/object_images/aardvark/aardvark_04s.jpg,0,aardvark,aardvark,True
4,images_THINGS/object_images/aardvark/aardvark_05s.jpg,0,aardvark,aardvark,True
5,images_THINGS/object_images/aardvark/aardvark_06s.jpg,0,aardvark,aardvark,True
6,images_THINGS/object_images/aardvark/aardvark_07s.jpg,0,aardvark,aardvark,True
7,images_THINGS/object_images/aardvark/aardvark_08s.jpg,0,aardvark,aardvark,True
8,images_THINGS/object_images/aardvark/aardvark_09s.jpg,0,aardvark,aardvark,True
9,images_THINGS/object_images/aardvark/aardvark_10s.jpg,0,aardvark,aardvark,True
10,images_THINGS/object_images/aardvark/aardvark_11s.jpg,0,aardvark,aardvark,True
11,images_THINGS/object_images/aardvark/aardvark_12s.jpg,0,aardvark,aardvark,True
12,images_THINGS/object_images/aardvark/aardvark_13s.jpg,0,aardvark,aardvark,True
13,images_THINGS/object_images/aardvark/aardvark_14s.jpg,0,aardvark,aardvark,True
26107,images_THINGSplus-CC0/object_images_CC0/aardvark.jpg,0,aardvark,aardvark,True
14,images_THINGS/object_images/abacus/abacus_01b.jpg,1,abacus,abacus,True
15,images_THINGS/object_images/abacus/abacus_02s.jpg,1,abacus,abacus,True
16,images_THINGS/object_images/abacus/abacus_03s.jpg,1,abacus,abacus,True
17,images_THINGS/object_images/abacus/abacus_04s.jpg,1,abacus,abacus,True
18,images_THINGS/object_images/abacus/abacus_05s.jpg,1,abacus,abacus,True
19,images_THINGS/object_images/abacus/abacus_06s.jpg,1,abacus,abacus,True
20,images_THINGS/object_images/abacus/abacus_07s.jpg,1,abacus,abacus,True
21,images_THINGS/object_images/abacus/abacus_08s.jpg,1,abacus,abacus,True
22,images_THINGS/object_images/abacus/abacus_09s.jpg,1,abacus,abacus,True
23,images_THINGS/object_images/abacus/abacus_10s.jpg,1,abacus,abacus,True
24,images_THINGS/object_images/abacus/abacus_11s.jpg,1,abacus,abacus,True
25,images_THINGS/object_images/abacus/abacus_12s.jpg,1,abacus,abacus,True
26,images_THINGS/object_images/abacus/abacus_13s.jpg,1,abacus,abacus,True
27,images_THINGS/object_images/abacus/abacus_14s.jpg,1,abacus,abacus,True
26108,images_THINGSplus-CC0/object_images_CC0/abacus.jpg,1,abacus,abacus,True
28,images_THINGS/object_images/accordion/accordion_01b.jpg,2,accordion,accordion,True
29,images_THINGS/object_images/accordion/accordion_02s.jpg,2,accordion,accordion,True
30,images_THINGS/object_images/accordion/accordion_03s.jpg,2,accordion,accordion,True
31,images_THINGS/object_images/accordion/accordion_04s.jpg,2,accordion,accordion,True
32,images_THINGS/object_images/accordion/accordion_05s.jpg,2,accordion,accordion,True
33,images_THINGS/object_images/accordion/accordion_06s.jpg,2,accordion,accordion,True
34,images_THINGS/object_images/accordion/accordion_07s.jpg,2,accordion,accordion,True
35,images_THINGS/object_images/accordion/accordion_08s.jpg,2,accordion,accordion,True
36,images_THINGS/object_images/accordion/accordion_09s.jpg,2,accordion,accordion,True
37,images_THINGS/object_images/accordion/accordion_10s.jpg,2,accordion,accordion,True
